"","V1","V2","V3","Di_JanFeblink$."
"t_time53","2018-02-16 15:07","影／超高人氣！馬英九興起擲出春聯 民眾暴動了","  今天是年初一，前總統馬英九與前立委丁守中到一早到行天宮參拜，並且發春聯，馬英九人氣旺，不少民眾搶著要跟他合影留念。馬英九一時興起將春聯丟給群眾，許多民眾爭相搶奪。 許多民眾爭相跟馬英九合照，國民黨今年將投身選戰的人馬反而顯得影薄。丁守中只穿一件喜氣紅外套，馬英九還提醒他，要穿有名字的背心。  許多民眾爭相跟馬英九（前排右一）合照，國民黨今年將投身選戰的人馬反而顯得影薄。記者鄭清元／攝影分享  facebook   馬英九一時興起將春聯丟給群眾，許多民眾爭相搶奪。記者鄭清元／攝影分享  facebook   不少民眾仍搶著跟馬英九握手合照。記者鄭清元／攝影分享  facebook   不少民眾仍搶著跟馬英九握手合照。記者鄭清元／攝影分享  facebook   馬英九一時興起將春聯丟給群眾，許多民眾爭相搶奪。記者鄭清元／攝影分享  facebook   丁守中（右三）只穿一件喜氣紅外套，馬英九（右二）還提醒他，要穿有名字的背心。記者鄭清元／攝影分享  facebook   不少民眾仍搶著跟馬英九握手合照。記者鄭清元／攝影分享  facebook   ","https://udn.com/news/story/6656/2988468"
"t_time54","2018-02-16 14:43","影／馬英九至行天宮參拜人氣超旺 民眾爭合照","   今天是年初一，前總統馬英九與前立委丁守中到一早到行天宮參拜，並且發春聯，馬英九人氣旺，不少民眾領完春聯也要求合影留念。馬英九與丁守中到行天宮發春聯。記者鄭清元／攝影分享  facebook   馬英九與丁守中到行天宮發春聯。記者鄭清元／攝影分享  facebook   民眾爭相跟馬英九合影留念。記者鄭清元／攝影分享  facebook   ","https://udn.com/news/story/6656/2988458"
"t_time55","2018-02-16 11:18","柯文哲走春送小燈畫春聯 自嘲畫狗不成反類豬"," 台北市長柯文哲大年初一走春，上午10點到松山慈祐宮拜年祈福，發送新年平安小燈。因為柯文哲除夕夜在臉書上傳1支「柯P新春大考驗－新住民吉祥話篇」影片，用新住民的家鄉語言拜年，而第一支主題是中國和菲律賓，媒體好奇是否刻意安排，柯今上午受訪時說，「這是抽籤的」，沒有特別想強調中國。 台北市長柯文哲（右）大年初一到松山慈祐宮參拜，發放平安燈給民眾。記者王騰毅/攝影分享  facebook    柯文哲今年走訪宮廟，身上沒有穿往年的橘紅色外套，而是素色的襯衫，柯文哲說，他原本有穿藍色外套，但是今天天氣太熱了，猜測今年過年好天氣，風景區一定擠爆。 柯文哲上午先到訪行天宮，柯離開後，前總統馬英九和市長選舉對手丁守中隨後就到，柯說「這很正常」，拜廟重複也是因台北市的大宮廟就這幾家，一定會重複，所以「哪有競爭壓力？」反正過年台灣習俗就是大家去廟裡上香祈福。 至於今年走訪宮廟的行程達28間，比往年還要多，柯文哲解釋，有人邀請，擠得出時間就辛苦點、多跑點。面對民眾熱情相迎，是否覺得人氣回升？柯文哲說，「台灣人民風還是很純樸，過年時大家就會說好話。」 此外，柯文哲畫春聯時，在上頭畫了1隻狗，但他自嘲畫得像豬，他說因為畫太胖，臉畫得太圓，「畫狗不成反類豬」。台北市長柯文哲（右）大年初一到松山慈祐宮參拜，發放平安燈給民眾。記者王騰毅/攝影分享  facebook   台北市長柯文哲（前排右二）大年初一到松山慈祐宮參拜。記者王騰毅/攝影分享  facebook   台北市長柯文哲（右三）大年初一到松山慈祐宮參拜，沿路都有民眾上前握手人氣旺。記者王騰毅/攝影分享  facebook   台北市長柯文哲（左二）大年初一到松山慈祐宮參拜，沿路都有民眾上前握手人氣旺。記者王騰毅/攝影分享  facebook   台北市長柯文哲（右）大年初一到松山慈祐宮參拜，有民眾喊高票當選，他說因為台灣人過年都講好話。記者王騰毅/攝影分享  facebook   台北市長柯文哲（右）大年初一走春，上午10點到松山慈祐宮拜年祈福，發送新年平安小燈。記者魏莨伊／攝影分享  facebook   ","https://udn.com/news/story/7323/2988326"
"t_time56","2018-02-16 11:18","丁守中的外套沒繡名 馬英九還特別提醒他"," 台北市長擬參選人丁守中今天上午隨同前總統馬英九走春拜廟，不過，對照身邊的市議員各個身穿印有名字的背心，丁守中只穿一件喜氣紅外套，經過的民眾不見得認得出他。為此馬英九還提醒他，要穿有名字的背心，丁守中受訪時說，「對啊，他提醒我要穿有名字的衣服，讓更多人看見（認識）我」。台北市長擬參選人丁守中（中）今天上午隨同前總統馬英九（右）走春拜廟，只穿一件喜氣紅外套，身邊市議員則身穿印有名字的背心。記者魏莨伊／攝影分享  facebook    丁守中今天上午先跟馬英九一起拜廟，隨後再跟前副總統吳敦義一起。丁守中表示，過年就要走春拜廟，跟所有信眾祝福新年快樂、幸福滿滿、財運旺旺旺，沒穿有名字的衣服，就是想說不要太政治化。 此外，國民黨派誰出征台北市長選戰目前還未定，傳出前陸委會副主委張顯耀擬在初五宣布投入北市長初選，在黨內投下震撼彈。丁守中今日被問及此事，他說「不會意外」，且認為國民黨有更多人參選是好事，從中選出最強的，年底勝算更高。 丁守中說，他跟張顯耀還算熟，以前張也是立委。沒聽說過張要參選，但歡迎大家一起來，就像擂台賽，一輪拚過一輪才能選出最強的候選人，國民黨勝算就更高。","https://udn.com/news/story/6656/2988325"
"t_time57","2018-02-16 00:00","跑選區步調 提不提名有差"," 獲彰化縣長提名，王惠美分秒必爭，盼握到最多的手。報系資料照分享  facebook    距離縣市長選舉投票日不到280天，不少國民黨參選人年節期間努力跑選區，爭取支持。同樣是參選人，已提名者與爭取初選勝選者，積極程度還是大不相同，前者分秒必爭，仍在爭取黨內提名者，相對放慢步調拉長戰線。 已獲國民黨提名參選彰化縣長的國民黨立委王惠美表示，選舉要靠選票，過年期間包含寺廟、鹿港小鎮等景點人潮聚集，要爭取支持，當然要往人多的地方跑。 王惠美說，她每年除夕年夜飯吃完後，就開始衝公廟，農曆新年正月初一爬八卦山、跑商圈，希望能握到最多的手。畢竟是年節期間，為加強民眾印象，自製生肖發財金小紅包文宣品當伴手禮，年節期間四處發送，讓拿到的民眾，能討個吉利。 表態參選桃園市長，陳學聖發福袋，希望多留時間給家人。報系資料照分享  facebook   表態爭取國民黨提名參選桃園市長的立委陳學聖說，由於今年是九合一選舉、桃園市長提名人仍未定，他已建議市黨部，至少要一區找一宮廟，率所有有意參選市長、議員與里長的擬參選人拜拜，展現團結氣勢拉抬選情。 陳學聖表示，他在選區發放印有「一元復始、萬象更新」的發財金福袋，畢竟已經跑了一整年，趁春節期間多數民眾返鄉或在家團聚時間，他也希望多留一點時間給家人，會減少拜票行程。 第五度爭取代表國民黨參選台北市長的前國民黨立委丁守中，除夕至初三期間規畫陪家人出國走走，讓辦公室競選團隊好好過個年。丁守中仍然鎖定搶攻採買年貨民眾，趕在過年前，走訪台北花市市場、年貨大街等地，發送春聯等文宣品。 丁守中競選辦公室發言人詹為元說，這次年節文宣品中，以地區限定的概念，由辦公室同仁設計「花市版」與「廟宇版」紅包袋，年前在特定地區拜票時就會限定使用，讓民眾年前能有一些小驚喜。 至於年節期間，詹為元表示，丁守中雖陪家人在國外，但也會先預錄賀歲影片，在官方臉書上播放，跟民眾拜年。 五度想選台北市長，丁守中除夕至初三，帶家人出國玩。報系資料照分享  facebook   ","https://udn.com/news/story/6656/2982698"
"t_time58","2018-02-15 00:32","「已做好準備」 張顯耀選北市長？年後決定","  前陸委會副主委張顯耀昨天傳出將宣布參選台北市長。 本報資料照片分享  facebook    年底台北市長選舉，國民黨立委蔣萬安不參選後，藍營選將躍躍欲試，除了前台北市副市長邱文祥三月初新書發表會是否宣布參選受注目，昨天傳出前陸委會副主委張顯耀也要宣布參選。張顯耀昨天對是否參選台北市長一事不置可否，他強調，已做好所有準備，農曆年後就會決定。 張顯耀表示，參選台北市長是重大決定，他正在慎重思考，等年後就會決定。他坦言，確實有很多人在鼓勵勸進，對於台北市長的願景和藍圖，也早有熱心朋友幫忙規畫；至於最關心的兩岸事務，張顯耀強調，他成立兩岸圓桌論壇，不是取代官方，但兩岸交流不能停，也不能斷，成立論壇是希望在目前兩岸官方交流停擺的情況下，藉民間力量維持兩岸的交流與和平發展。 據了解，張顯耀前天特地拜會國民黨主席吳敦義，針對兩岸事務交換意見，張顯耀是否在會談中提及參選台北市長一事，他昨天對此並未多做說明。身為國民黨員，張顯耀若宣布參選，將和國民黨已表態的前立委丁守中、前行政院發言人鄭麗文進行黨內初選，張顯耀表示，等年後決定後再一併思考。 去年張顯耀在最後關頭力勸吳敦義出馬參選黨主席，選戰過程也是傾全力幫吳敦義輔選，除了高雄市之外，在兩岸乃至黃復興黨部，張顯耀私下著力甚深，但選戰後期張顯耀逐漸淡出。對傳出張顯耀要參選台北市長，黨內人士表示毫不知情。 張顯耀去年六月十日在高雄成立「台灣青年圓桌論壇協會」，深耕青年基層，高雄市二十四位國民黨籍議員中，就有十九人擔任該協會理監事。今年一月三十一日，大陸國台辦主任張志軍曾在北京會見擔任圓桌論壇協會理事長的張顯耀。而張顯耀積極籌辦的「兩岸圓桌論壇」，據傳四月將在北京登場。 據了解，從去年開始，就有許多人積極勸進張顯耀爭取代表藍營參選台北市長，勸進者還成立疾風兄弟會，成員包括企業主、各社團理事長、藝術家等，成員至今已近千人。 ","https://udn.com/news/story/10958/2987506"
"t_time59","2018-02-14 20:14","傳投入台北市長初選 張顯耀：農曆年後明朗"," 前行政院大陸委員會副主任委員張顯耀傳將在初五（20日）宣布投入中國國民黨台北市長初選，不過，他今天未正面回應，僅表示，農曆過年後明朗。聯合報系資料照分享  facebook    前行政院大陸委員會副主任委員張顯耀傳將在初五（20日）宣布投入中國國民黨台北市長初選，不過，他今天未正面回應，僅表示，農曆過年後明朗。 國民黨籍立委蔣萬安宣布不選台北市長後，目前已表態參選有前國民黨籍立委丁守中、前行政院發言人鄭麗文，不過，鄭麗文因母親跌倒，2月6日宣布停止選舉行程。 中國時報今天也報導，前陸委會副主委張顯耀已確定投入國民黨台北巿長候選人初選，預計20日正式對外公布。 不過，張顯耀今天接受中央社記者採訪時，未正面回應，僅表示，農曆過年後明朗。 國民黨台北市黨部預計3月後辦理初選。對於多人表態參選，國民黨組織發展委員會主任委員李哲華告訴中央社記者，中央提名協調小組已規劃台北市長選舉提名採公平、公正、公開的初選機制，由全民調決定人選，黨員都可以參與。 至於何時初選，李哲華說，台北市黨部希望市長與市議員選舉一起公告初選，預計農曆年後將初選時程提報黨中央。","https://udn.com/news/story/10958/2987204"
"t_time60","2018-02-13 23:19","民進黨「議員掉席」說 柯文哲：去問洪耀福"," 立委姚文智昨在台北市議員阮昭雄、王閔生等人的陪同下，前往東門市場掃街，強調民進黨應該要堅定意志，提出自己的候選人。 圖／立委姚文智辦公室提供分享  facebook    年底台北市長選舉，民進黨是否繼續禮讓台北市長柯文哲，依舊曖昧未明。國會觀察基金會董事長姚立明直言，若民進黨不提自家人選，「議員保證掉個5席、6席都不止」。柯昨說，這要去問民進黨秘書長洪耀福，他們有分析過，這後面就不好意思講。 姚立明示警，綠營議員大多認同，直嘆情勢不好，只能自求多福；民進黨市黨部主委黃承國則說，不推人確實多少會有影響，但一切都很難說，整體搭配最重要。 民進黨台北市長擬參選人、立委姚文智近來動作頻頻，昨早在市議員阮昭雄、王閔生等人陪同下掃街。東門市場距離國民黨前立委丁守中的競選總部、柯文哲的住家都很近，外界視為較勁踢館意味濃厚。  對於姚立明的「議員掉席說」，姚文智表示，情勢已很清楚，民進黨很多支持者對柯文哲已是完全道不同，不相為謀，這情緒也會影響議員投票，民進黨應要堅定意志，推出自己的候選人。姚說，市長是要講理念、價值、市政願景的，民進黨只要團結一致，就可贏得選舉。  民進黨籍議員李建昌雖說不至於這麼悲觀，但也坦言無論有沒有提名，整體選舉情勢對議員都非常不利，若提名，就會失去柯粉支持；不提名，又會失去深綠選票，一切只能靠自己。 李建昌認為，無論提名與否，議員選戰都應聯合競選、團結打拚，才會創造最大席次。 同黨籍議員簡舒培表示，很多基層支持者不斷反映，若不提自家人選，連議員選舉都不出來投票，在此氣氛下，多少會有點影響，在複數選區下，可能會是落選頭。 簡舒培直言，柯的政治理念明顯和民進黨有出入，黨中央若最後決定不自提人選，卻又提不出正當理由，民進黨支持者自然會有所懷疑。 「推人就可以保證『全壘打』？」黃承國表示，不推人一定會有影響，所以整體搭配很重要，選舉的事很難講，重點不在於推不推人，是要如何確保議員席次。 ","https://udn.com/news/story/10958/2985802"
"t_time61","2018-02-13 12:51","東門市場掃街兼較勁？姚文智：巧合"," 立委姚文智今早在台北市議員阮昭雄、王閔生等人的陪同下，前往東門市場掃街，由於東門市場距離國民黨台北市長擬參選人丁守中的競選總部，以及台北市長柯文哲的住家相當近，被外界視為踢館較勁意味濃厚。 對此，姚文智則笑說，只是剛好、巧合。 姚文智表示，北市府對於東門市場的改建效率太慢，政府真的要扛起責任，看看怎麼樣和周邊私有地整合來進行公辦都更。 姚文智認為，北市很多市場都可以進行混居式的社會住宅，市府有很多工具，只是看看市府要不要扛起責任。 姚文智也批評，有聽里長在反映，市府都是把協調工作交給里長，這樣子不對，市府應該要自己跳出來積極來做，才能夠說服參與都更的地主。 此外，柯文哲日前曾提到，花蓮強震，假如震央在北市，估計至少要倒4千戶老屋，死6萬人。姚文智則有不同看法，質疑這數字不對，4千戶、6萬人，等於一戶15人，台北市根本沒有這樣子的地方，痛批柯文哲對於情況掌握不清楚，不知道是講錯、危言聳聽，還是漫不經心。 對於國會觀察基金會董事長姚立明昨在政論節目上表示，若民進黨在北市長選舉不提自家人選，「議員保證掉個5席、6席都不只」。 姚文智表示，目前情勢已經很清楚，很多民進黨支持者對於柯文哲，已經是完全道不同、不相為謀，這樣子的情緒會影響議員投票，民進黨還是要堅定意志，提出自己的候選人。立委姚文智今早在台北市議員阮昭雄、王閔生等人的陪同下，前往東門市場掃街，由於東門市場距離國民黨台北市長擬參選人丁守中的競選總部，以及台北市長柯文哲的住家相當近，被外界視為踢館較勁意味濃厚。圖／立委姚文智辦公室提供分享  facebook   ","https://udn.com/news/story/10958/2984508"
"t_time62","2018-02-13 12:23","簡余晏要台北市民應慎選市長 柯P：這還用她說"," 農曆春節將屆，被問到過年有什麼計畫？台北市長柯文哲今出席鬱金香花展開幕記者會，會後受訪時表示，我看市府給我排初一、初二有27個宮廟，「天啊」，怎麼排這麼多， 我大概過年都在「廟廟」，都在廟裏面拜拜。 此外，柯文哲還透露，初二會和總統蔡英文一起去保安宮拜拜。 對於前觀傳局長簡余晏提到，台北市民要慎選台北市長、台北市議員。柯文哲則是笑著表示，不用她講也是要慎選。 民進黨台北市長擬參選人、立委姚文智近來則是動作頻頻，今天上午還前往東門市場掃街，由於距離前立委丁守中的競選總部總部只有50公尺，距離柯文哲的住家也只有100公尺，較勁意味濃厚，姚文智今還批評，質疑柯文哲的東門市場改建案進度緩慢。 對此，柯文哲說，市場改建最困難的就是中繼市場很難找，台北市幾乎沒有什麼地，穿西裝改西裝也非常困難，市場改建在台北市很困難。 此外，對於丁守中批評住豪宅，不懂民眾想要都更的心情，柯文哲則說，不是每個地方都可以都更，只有少數幾個個案可以，昨天的都更論壇也有討論，市府少數幾個個案可以放寬容積，但如果全面要這樣子做，問題就蠻大的。農曆春節將屆，被問到過年有什麼計畫？台北市長柯文哲今出席鬱金香花展開幕記者會，會後受訪時表示，我看市府給我排初一、初二有27個宮廟，「天啊」，怎麼排這麼多， 我大概過年都在「廟廟」，都在廟裏面拜拜。圖／北市府提供分享  facebook   ","https://udn.com/news/story/10958/2984439"
"t_time63","2018-02-13 12:18","不推北市長人選綠營議員會掉席次 柯P：去問洪耀福"," 台北市長選舉腳步接近，民進黨究竟是否要禮讓台北市長柯文哲，備受外界關注。國會觀察基金會董事長姚立明昨在政論節目上表示，若民進黨在北市長選舉不提自家人選，「議員保證掉個5席、6席都不只」，綠營議員則是質疑柯文哲不再是2014年的那隻母雞。 對此，柯文哲表示，這個要去問民進黨秘書長洪耀福，他們有分析過，這後面就不好意思講。 媒體追問是什麼意思？柯文哲說，算了，這個有討論過。 柯文哲表示，兩害相權取其輕，好啦好啦，就這樣子，選舉的事情去問洪耀福。 對於民調領先立委姚文智、前立委丁守中，柯文哲說，差不多一年前就是這樣子，民調也沒有改變。 媒體追問，是否會拋棄民進黨這個盟友？柯文哲則是反嗆「那是你講的」。對於國會觀察基金會董事長姚立明昨在政論節目上表示，若民進黨在北市長選舉不提自家人選，「議員保證掉個5席、6席都不只」。柯文哲表示，這個要去問民進黨秘書長洪耀福，他們有分析過。圖／北市府提供分享  facebook   ","https://udn.com/news/story/10958/2984421"
"t_time64","2018-02-13 00:05","柯文哲：政策需大改 不然北市都更恐花千年","  花蓮地震後，都更議題發燒。台北市政府昨舉辦都更論壇，市長柯文哲質疑，前市長郝龍斌任內為實現都更「一坪換一坪」，送高容積增加改建誘因，至今僅3案開工；至於柯文哲日前提及921大地震之前房屋防震能力較有問題，會中並無具體討論。 柯文哲說，北市屋齡30年以上約60萬戶，占全市約67%，進入都更程序才3.6萬戶，只占6%，都更政策需要大幅改變，不然花1000年以上才能完成；都更是全國性問題，未來10年，老屋一定要更新，因為未來10年是高峰期，都更勢在必行。台北市府昨舉辦都更論壇，市長柯文哲出席致詞。 記者張世杰／攝影分享  facebook    柯文哲表示，郝市府民國99年推動「老舊公寓更新專案」，針對民間4、5樓老舊公寓，提出一坪換一坪，透過增額容積誘導建商整合，專案於104年期滿，共79案提出申請、僅3案開工，代表政策要修改。 北市府在昨天論壇提出過去3年的都更制度改革成績，並宣布一度停工的永春都更案將於今天復工，以及斯文里第三期公辦都更預計5月15日動工拆屋；行政院政務委員張景森大讚北市府說，斯文里若成功，台灣沒有一件都更案會做不成。 至於北市府列管須拆除重建的46件海砂屋，仍有17件未進入都更程序。北市建管處說，將持續跟中央溝通，是否免經耐震評估，直接適用「危老條例」。分享  facebook    北市都更審議委員簡伯殷說，北市府處理海砂屋，斷水斷電對象只有商業店面，若不考慮住宅，就會出現問題；另一位委員趙正義說，台北市每年增加老屋戶數，比核定都更案戶數還多，恐發生永遠更新不完情況。 郝龍斌辦公室發言人游淑慧昨天說，柯文哲只會往別人身上倒垃圾，永遠都是說別人的壞話，從不檢討自己，是種「病態性格」，請不要再霸凌別人。 國民黨前立委丁守中說，都更類似問題幾乎成了老生常談，現在房屋公設比約3成，造成誘因不足，低房價的老社區也不夠都更成本，北市府應拿出決心，對老舊社區給予更高容積獎勵誘因，才能提升居住安全與防災都更。 ","https://udn.com/news/story/7323/2983805"
"t_time65","2018-02-12 21:11","柯文哲都更論述 丁守中：專業不夠、束手無策","  台北市政府今舉辦都更論壇，市長柯文哲指郝市府「一坪換一坪」政策效果不彰；台北市長擬參選人、國民黨前立委丁守中批評，柯文哲說了半天，推中央、推法規、推民眾頭腦需要都更，就是他專業不夠、束手無策。 丁守中直言，所謂都更成功率低的原因，其實是因為政府鄉愿，不敢站在多數民眾居住正義這邊，用公權力化解釘子戶問題，當然一事無成。 丁守中指出，現在新屋公設比動輒3成多，相較於過去老公寓的公設很低，導致「一坪換一坪」扣除公設，屋內實坪比過去還小，所以造成對民眾的誘因不足。 另外，容積獎勵又有限，再加上每個都更案平均7、8年的時間成本，在真正更新迫切性、房價偏低的窳陋老社區，根本不符成本，導致建商只願找好地段蓋豪宅，才造成愈窳陋地段愈難都更，卻潛藏著嚴重的居住安全風險。 丁守中強調，類似問題幾乎成了老生常談，關鍵在於北市府必須本於專業，拿出決心與魄力，並對老舊社區給予更高容積獎勵誘因，才能有效解決問題，提升老社區居民居住安全與城市防災。國民黨台北市長擬參選人、前立委丁守中。圖／報系資料照分享  facebook   ","https://udn.com/news/story/7323/2983533"
"t_time66","2018-02-12 00:05","邱文祥備戰北市 藍採柯P模式？"," 台北市前副市長邱文祥評估參選台北市長，不過尚未鬆口。 圖／聯合報系資料照片分享  facebook   國民黨台北市長布局迄今未明朗，據了解，台北市前副市長邱文祥已訂在三月初舉行新書發表會，被藍營認為是其參選台北市長的起手式；不過與台北市長柯文哲同屬醫界背景的邱文祥，至今也仍是無黨籍，邱一旦宣布參選卻未加入國民黨，國民黨是否也採當年的「柯Ｐ模式」協調，引起關注。 行政院前發言人鄭麗文日前以母親健康不佳為由宣布停止台北市長黨內初選的競選活動，不過國民黨副主席郝龍斌曾透露至少還有三人將表態，其中邱文祥有意出馬的傳聞始終未斷。由於邱文祥是泌尿科權威，在郝龍斌市府出任副市長期間負責府會聯絡，與北市議員互動良好，被支持者認為和柯文哲同屬「低政治性但有高度專業性」，卻在行政治理、執行力及人和上勝柯Ｐ一籌，在北市選戰有其賣點。 據透露，邱文祥一直沒有正式表態，但他為評估參選台北市長，在一年多前就組了一個專案小組進行各項市政議題的研議；邱文祥新書發表會定於三月四日舉行，包括前郝市府團隊、市議員及藍綠政壇人士都已接獲邀請。 邱文祥昨天受訪表示，他還沒有決定是否參選台北市長，如果有決定，會統一向外界說明。前立委丁守中則表示，歡迎各界有志之士的優秀俊彥參與台北市長選舉，至於未來是否有可能和邱文祥協調推出一組參選人？丁守中強調這部分將交由中央黨部處理。 國民黨主席吳敦義日前首度提到泛藍共推人選的機制，他表示，假如有人認為自己是泛藍，屆時可能有兩種考慮方式，一種是直接把泛藍與代表國民黨的正藍一起做民調；另一種是分兩階段，願意參加第一階段的國民黨員出線之後，再來整合泛藍的非民進黨籍候選人。 藍營人士指出，如果邱文祥宣布參選後願與國民黨協調，就有可能比照當年民進黨「柯Ｐ模式」，共推一組藍營的參選人，如果邱文祥最後真要以無黨籍逕行參選，照目前民進黨沒有打算推北市長參選人，年底台北市長選舉又有可能上演「三國」的對戰組合。 ","https://udn.com/news/story/10958/2982007"
"t_time67","2018-02-11 23:27","柯文哲：防震有問題房子 921前蓋的"," 北市前副市長歐晉德日前呼籲，北市9成5民房超載，應全面都更。台北市長柯文哲昨說，他同意大規模都更。 圖／北市產發局提供分享  facebook    花蓮大地震，北市府今天將舉辦「都市更新論壇」，都更議題受重視。北市前副市長歐晉德日前呼籲，北市9成5民房超載，應全面都更；台北市長柯文哲昨說，他同意必須大規模都更，建築法規陸續修正後，對防震係數要求拉高很多，北市主要有問題的房子，是921大地震前蓋的房子。 921大地震發生於1999年，地震之前蓋的房子至少屋齡19年以上。柯文哲昨表示，921大地震之後蓋的房子，現在看起來問題比較少，問題是921之前當時建築法規對防震沒有一定的要求，「那部分就比較危險」。 北市府早預計今天舉辦「都市更新論壇Ⅳ」，受到花蓮大地震，北市都更議題更受關注。依北市府規畫，除了原定公辦都更、快軌168專案成果之外，另加入海砂屋、危老條例、老屋健檢，以及都更「一坪換一坪」議題。 北市都發局昨表示，論壇相關的簡報、議題仍在持續調整中，預計今天早上晨會，向柯文哲報告後定案。根據議程規畫，行政院政務委員張景森、內政部營建署代理署長王榮進等中央官員將出席，柯文哲將全程聆聽後做總結。 柯文哲日前說，「都更不要幻想一坪換一坪，還附車位，哪有這麼好的事」，引發外界抨擊。國民黨前立委丁守中說，他一定辦得到「一坪換一坪」，還外加停車位；民進黨立委姚文智酸柯、丁，一個袖手嘆息，一個漫天喊價。 北市府發言人劉奕霆表示，柯仍維持一慣立場跟態度，都更應該公、私協力一起合作完成，讓民眾有更好居住環境，解決北市的長期居住問題。 ","https://udn.com/news/story/7323/2981878"
"t_time68","2018-02-11 00:13","歐晉德警告 台北逾9成房子超載"," 台北市前副市長歐晉德(中)警告有逾95%的房子有加蓋，增加危險因素。 記者楊正海／攝影分享  facebook    台北市前副市長歐晉德等專家昨天警告，台北逾九成五的房子有違章加蓋，普遍「超載」，很多老舊公寓華廈的一樓被任意拆牆做賣場、超商、餐廳等，二樓以上增加很多磚牆隔成小套房出租，都是強震受災的首要對象，必須盡速建立防災減災機制，全面都更。 歐晉德昨與國民黨台北市長參選人丁守中、台科大前副校長李咸亨、結構技師蔡榮根等人舉行記者會。曾任九二一大地震東星大樓倒塌現場指揮官的歐晉德說，台北盆地屬軟弱地質，潛在危險比較多，民國五、六○年代的房子，耐震法規和工程品質管制不足，先天就比較脆弱。 歐晉德說，更危險的是，台北超過九成五建物都有加蓋違建、重量超載，加上地質脆弱，建築危險因子增加，房屋遇強震倒塌風險提高，必須趕快都市更新。 歐晉德呼籲政府提高容積率等誘因，拉高建築高度，鼓勵老舊房屋都更，才能化解都更阻力。","https://udn.com/news/story/11807/2980629"
"t_time69","2018-02-10 20:58","加速都更 丁守中：我有能力對付釘子戶"," 花蓮強震，外界關注台北老舊房舍防災都更。國民黨台北市長擬參選人、前立委丁守中今邀集前副市長歐晉德及多位專家進行討論。 丁守中則強調，政府有責任保障人民之生命。雖然當前都更推動困難重重，但他「有能力對付釘子戶」。 丁守中說，眼看目前台北市民平均居住空間只有6.2坪，屋齡平均34年，全台最老舊，耐震係數嚴重不足。為提升市民居住安全與城市防災，台北市政府責無旁貸，應全力以大幅容積獎勵方式協助市民舊居換新屋。 他也強調，釘子戶問題的確是目前都更卡關關鍵，但相較釘子戶引用憲法第10條「居住遷徙自由」拒絕都更，但憲法還有第23條「自由權利若影響到他人自由、避免緊急危難、維持社會秩序，或增進公共利益，得以法律限制之」，以及憲法第15條的「人民之生存、財產權，應予保障」，因此包括法官與民眾都應從此角度，了解防災都更的推動的確有憲法可作為依據。花蓮強震，外界關注台北老舊房舍防災都更。台北市長擬參選人丁守中(右2)今邀集前副市長歐晉德(左2)及多位專家進行討論。記者楊正海/攝影分享  facebook   ","https://udn.com/news/story/10958/2980390"
"t_time70","2018-02-10 19:34","姚文智批柯文哲丁守中：一個袖手嘆息 一個漫天喊價","  花蓮強震造成多棟房屋倒塌，各界關注台北市老屋都更如何進行，台北市長柯文哲提醒民眾心態要改變，不要幻想一坪換一坪還外加車位、興建期間房租，然後一毛錢都不用出。有意參選台北市長的民進黨立委姚文智批評，柯的發言讓他深感憂慮。 姚文智說，花蓮強震後，他宣布暫停競選活動，但這兩天看到柯文哲對都更政策的發言，深感憂慮，如果台灣社會總是災後充斥「無建設性」的議論，那麼等到下次災害降臨，仍只會陷入「嚼舌的輪迴」。 姚文智說，柯在台北執政已三年，卻只像「旁觀者」一樣，停留在「描述現況」，情緒性的空話，印證其在推動都更的決策反覆與遲延，實在可惜。天下當然沒有免費的午餐，不勞市長多言；但另一位有意參選的國民黨前立委丁守中馬上加碼，稱「不但一坪換一坪，還保證送停車位」，這些發言了無新意，「一個袖手嘆息，一個漫天喊價，無心膚淺，毫無市長格局！」 姚文智說，面對地震風險，台北的安全危機固不待言，未來他認為台北57萬戶老舊住宅的全面都更刻不容緩，但重點在：「市長要不要扛起責任？」市長如果願意帶頭衝，都市計畫領銜，左手「設計改造」，右手「公辦都更」，傾洪荒之力整合政策、資源、民間力量成為共識，形成一股具有高度動能的都市運動，也就是他稱的「地殼改造運動」。那麼，真正的台北都市更新（或都市再生）才有實現之日。 姚文智說，若「公辦都更」推到極致，民辦都更目前冗長程序與障礙，也會迎刃而解。未來，在公私協力下，至少10倍動能與速度，創造新的都市環境與機能，維護居住正義，並且創造龐大產值與就業機會。 他曾在去年提出「地殼改造運動」演講的主軸。綱要包括：一、政府扛責，都計主導，公益優先，大街廓為單元透明參與，財產保障；二、十年為期，公私協力，「向天借地」，最優容獎生態古蹟保護；三、中央協助，市府主推，設立住宅與都更局，擴充都更中心，10倍人力，一年100億都更基金。 他也說，這其中有一個重要觀念「向天借地」，也就是台北應透過都更的容積獎勵，讓城市「稍微長高」，來作為動更動能，凝聚市民共識，全力以赴。過去幾年間，立法院內政委員會的朋友都知道，他不斷提出對台北市都更與改造的想像與作法，提出「都更三箭」：大修以公辦為主導的「都更條例」（原欲改為都市再生條例）、主審「危老條例」（通過施行）、鼓吹「國家住都中心」（已通過），並要求中央政府將其視為最重要的住宅與經濟政策，所做法制的調整，已接近完成。接下來，預算不缺的台北市，就只差市長的決心，或換一個「有決心的市長」了。","https://udn.com/news/story/10958/2980274"
