"","time","post","share","like","love","haha","sad","wow","angry"
"11","2018-06-02T13:53:26+0000","#一個政府應該要做的事情

去年，聯合醫院黃勝堅總院長帶我去看社區醫療，一位30歲就中風的男生，因為住在沒有電梯的老舊公寓，樓梯又很陡，就這樣，他一個人坐在輪椅上，在2樓10坪大的房間裡繞著繞著，繞了15年。

他整整被關在2樓15年，最大的心願，只是到樓下對面的公園去散步、去唱卡拉OK。

我當時只是碎碎念「怎麼會有人被關在2樓15年？」沒想到聯合醫院中興院區的幾位同仁自告奮勇，背著他下樓，推著輪椅帶他去公園透透氣，再把他推到里長辦公室唱「愛拼才會贏」的卡拉OK，這一幕看了，大家都很感動。

我們總以為先進醫療就是大醫院、精密的儀器、高貴的標靶藥物，但其實很多時候，醫療和長照還是需要走進社區，主動照顧這些行動有困難的患者與老人。

「石頭湯計畫」就是一個例子。如果要一個獨居老人自己去張羅各種長照服務，包括居家醫療、居家護理、居家藥師、居家復健、居家服務、社福申請等等，一個一個申請肯定會抓狂。但我們透過石頭湯計畫中的這些社工、護理背景的個案管理員，幫老人整合這些照護資源，協助到府服務，他們就可以安心在家養老。

這才是一個政府應該要做的事情。

#石頭湯計畫
#社區整合照顧服務
#進步價值光榮城市

---
石頭湯計畫（社區整合照顧服務）擴大實施，12行政區都有據點！
http://pcse.pw/7L4BK",1538,45993,1518,27,443,47,15
"12","2018-06-01T02:44:53+0000","從今天起，臺北市政府正式脫離千億債務俱樂部。

我剛上任時，接下了1468億元的債務，過了3年半還了差不多520億元，讓債務減至948億元，人均負債也從上任時的5.4萬，下降至3.5萬，如果今年還有歲入增加，大概可以還到540億元。

這是地方自治史上民選首長的最高還債紀錄，但其實我們只是每天認真工作，該做的做，不該做的不要做，到年底就會發現剩下很多錢。

就像追加預算，以前都沒在控管，現在通通要進市長室專案報告，後來幾乎沒什麼在追加。世大運開閉幕我們花3.6億，8年前同一個場地的聽奧花了5.4億，世大運的規模還是聽奧的好幾倍。

這幾年我們每天操、每天盯，消耗預算的毛病也少了。現在債務還了，效率提高了，我們也有更多的財力解決問題，像市場改建、公辦都更、東區門戶計畫等等，現在都有足夠的財力進行。

我們改變的現在，是下一代的未來。一個負責任的政府，不應該債留子孫，這就是4年下來臺北市政府所秉持的信念。

#嚴守財政紀律
#進步價值光榮城市",25349,351160,13294,1743,99,1012,57
"13","2018-05-29T11:10:18+0000","#創新是臺灣唯一的出路
　
臺北市政府的公務員，經過世大運、臺北燈節的磨練後，已經變成全臺灣戰鬥力最強的市政團隊。
　
公務員要創新，要先建立一個不怕失敗的環境，因為新藥上市前都要實驗了，更何況是創新的政策，所以在戰略上我們永遠往前跨一步。舉例來說，在長照上，我們不主張把老人送到大型安養機構，而是試辦「石頭湯計畫」，讓管理員把長照資源直接送到家中，老人就可以在自家養老。
　
一年多來，雖然試辦計畫還有一些要修正的地方，但大方向是對的，我們逐步建立SOP，未來就可以在各個鄰里複製這些成功經驗。
　
市政的創新，不只有長照。在教育上，我們在好幾所國中小試辦雙語教育和實驗教育；在都更方面，我們推動公辦都更，設立都更辦公室長期駐點，累積實務經驗；交通部分，我們讓無人小巴在信義路、士林科技園區上先跑跑看；最經典的例子，就是把燈節從花博園區搬到中華路上，為西區帶來更多商機。
　
這些都是市府公務員勇於創新、勇於改變的案例。
　
為了鼓勵公務員創新，以前一年發一次的獎金，現在多了每三個月用我的特支費發一次「即時獎勵金」，反正我應酬很少，一年省下一百萬元的特支費就拿來發給大家，避免拖久了無感。上個月，我們就把這個獎給了消防局，他們做的「視訊119」App，拍照後就可以線上報案，真的很方便。
　
雖然獎金分下去，大家吃一頓飯應該就沒了（搞不好局處首長還要幫忙貼錢），但這是我對優秀的公務員一份心意，感謝大家在這裡努力工作，為市民服務、替城市創新。
　
#進步價值光榮城市

---
馬上下載方便好用的「視訊119」App

Android版本：https://goo.gl/aYBD7R
iOS版本：https://goo.gl/JRR4XD",755,29999,793,52,4,84,12
"14","2018-05-28T06:35:02+0000","到年底，臺北市會有32處公宅同步在興建中。

這對都發局的同仁是很重的負擔，因為我們要讓公宅成為鄰里社區的好厝邊，所以公宅不只要蓋得漂亮、有設計感，還要把低樓層拿來作為社區的社福設施，包括公共托嬰、非營利幼兒園、老人日照中心，以及社區居民活動中心。

這樣一來，公宅蓋好了，鄰里與社區裡頭的社福設施也一次到位。

以前我們要尋找合適的社福空間都很困難，就連要運用閒置校舍也需要不斷的跟校方溝通。後來我發現求人不如求己，直接把新蓋的公宅低樓層拿來用，就可以解決很多問題。

這個計畫也考驗市府團隊水平整合的能力，以前各局處有分工不合作的問題，現在我們要求都發局在設計公宅、在蓋的時候，就必須與主管社福設施的社會局坐下來討論，預先保留這些托嬰、托幼、托老的空間。

健康公宅是我們把公宅與社福設施合併的第一個案例，希望透過這樣的模式，4到5年之內，我們就可以做好臺北市的社福基礎建設。

#健康公宅
#公共托嬰 #非營利幼兒園 #老人日照中心
#進步價值光榮城市",445,18084,477,45,0,36,8
"15","2018-05-27T05:54:40+0000","畢展初體驗，請大家多多支持這群厲害的大學生。

#勇敢的航向不可知的世界

---
華山新秀季 
Hashtag｜2018 台科北科雲科聯合設計展
登出台北 Undefined Senses 北藝大新媒系 第五屆畢業行動",320,17870,852,350,11,54,22
"16","2018-05-26T10:44:30+0000","【為什麼我們要做沒有圍牆的「城市博物館」？】
　
過去幾十年，臺北市的發展重心在東區，所以我們做了以北門為中心的西區門戶計畫，讓舊城區有了全新的面貌。往北、往南，沿著淡水河與新店溪的河岸，我們則是設計五座「沒有圍牆」的「城市博物館」。
　
什麼是沒有圍牆的城市博物館？就是把具有歷史意義的建築與特色街區，作整體的重新規劃。博物館不是蓋個房子把所有的東西放進去，而是以社區的方式呈現歷史的面貌，這才是城市博物館的真正意義。
　
北投、大稻埕、城中、艋舺，到城南，這五座城市博物館，都呈現不同面貌的老臺北，每一座都有各自的「故事」。北投有溫泉與那卡西文化；大稻埕跟艋舺是臺北城的起源；城中則有赤峰街文創聚落與中山地下書街，「心中山」線型公園完工後，今年十月的白晝之夜，也會在這裡舉行。
　
而城南是這五大博物館中最具人文底蘊的一個，三月底我親自走了一趟，先到紀州庵泡茶，再去逛溫羅汀的舊書店，最後則是去寶藏巖光節、蟾蜍山微光展，感受老聚落的新生命。
　
這些地點都有各自的特色，串在一起，就變成城南地區不可或缺的藝術文化風景。未來每年四、五月的杜鵑花節，也會跟這些景點整合，成為當地最具特色的活動。
　
跟著影片的腳步，找個假日一起泡在城南，過個文青的一天。
　
#市政問答題
#城市博物館
#進步價值光榮城市",388,11944,342,14,1,50,19
"17","2018-05-25T05:54:30+0000","民無信不立，政府失去人民的信任，是臺灣政治的根本問題。

過去政府主導的重大BOT案，幾乎每一個案子都被懷疑，改善這個問題其實也不難，第一步就是公開透明。但公開透明不是只有在那邊呼呼口號，而是落實在實際的行政之中。

所以流標5次、還一度發生弊案的雙子星大樓開發案，這次重新上網招標的同時，我們不要只回答廠商的問題，也要聽聽所有人民的聲音。從現在開始，任何有關雙子星開發案的問題，都歡迎大家上網提問。

我們要打破過去只有投標廠商可以要求釋疑標案的規則，將這套制度落實在每一位公民，只要上網提問，捷運局會收集題目，在一個月期限內明確回答，讓所有國民都有提問、監督的權利。

我相信眾人的智慧大於個人的智慧，不是和你意見不同，就是要找你麻煩，因為面對問題是解決問題的第一步，把所有的小問題解決了，就沒有大問題。所以公民參與委員會這幾年下來，已經讓上百個公共工程都納入公民參與。這顯示只要不斷跟人民對話，務實的修正，很多問題是可以被解決的。

從現在開始到7月31日，雙子星（C1D1開發案）的問題歡迎你來提問，我們會好好回答，給大家一個滿意的答案。

提問連結：https://goo.gl/FXPGZt 

#公民參與
#西區門戶計畫
#進步價值光榮城市

---
雙子星開發案相關資訊公開：https://goo.gl/hmyf2X
北市府公共工程落實公民參與制度：https://goo.gl/tm51VC",538,23674,466,47,8,115,11
"18","2018-05-25T02:14:12+0000","布吉納法索與臺灣斷交的事情，事出突然。臺灣在國際上的處境一向都很艱難，所以必須自立自強，只有我們的經濟實力變得更強，才能在國際佔有一席之地，不能老是把國家的命運寄託在他國善意之上。

臺北作為臺灣的首都城市，應當盡力進行城市外交，突破困境。臺北市與布吉納法索首都瓦加杜古市，從2008年締結姐妹市以來，一直有一些交流和互動，去年世大運他們也有派代表團出賽，未來我們也會盡力維繫姐妹市關係，維持良善的互動。",414,26498,450,181,42,42,18
"19","2018-05-23T04:30:16+0000","原本預估要花十年時間才能汰換掉的鉛水管，為什麼用不到兩年時間就可以達標？蘇迪勒颱風之後，我們做了什麼改進，讓未來颱風來臨時，水龍頭不再流出黃水？

不管你在上班，還是在偷看籃球賽，中午十二點半記得上來臉書一起吃便當，一起灑花生，一起聊市政。

#柯Ｐ便當會
#臺北喝好水",585,25494,1126,540,8,69,21
"20","2018-05-21T08:18:34+0000","【環南市場<U+30FB>改變成真】

短短一年半的時間，環南市場改建工程正式上梁了。

傳統市場改建，從來就不是政治人物的優先選項。第一，很少人有耐心和上千個攤商溝通，整合大家的意見；第二，花費的時間太長，即使開工，也很難在任內可以剪綵完工，所以改建興趣不大。

但市場是城市的縮影、人民生活的代表。老舊的傳統市場環境髒亂、老鼠橫行，不但無法吸引國際觀光客，連本地人也越來越不愛逛，改建絕對是勢在必行。

我有這個決心，所以每次都對市場自治會及攤商說：「如果沒有趁我這個『瘋瘋的』市長在任時，趕快進行改建，下一次的機會不知道要等到什麼時候。」

就像市場處主秘說，他進臺北市政府當科員承辦的第一份公文就是環南市場改建案，十八年後他升了主秘，總算才開工，難怪他會感慨萬千。

我們的傳統市場改建不只有硬體上的改良，軟體的升級才是重點，包括乾濕分離、垃圾不落地、減少塑膠包材，也要引進綠能環保、節能減碳。不可以改建之後，還是把菜跟垃圾一起放在地上，老鼠在旁邊跑，這樣的改建就失去意義。

明年八月，歡迎大家一起來逛逛全新面貌的環南市場。

#傳統市場改建
#環南市場 
#大龍市場 
#第一果菜及魚市場 
#成功市場 
#東門市場 
#南門市場  
#進步價值光榮城市",836,29775,874,50,8,166,10
"21","2018-05-19T12:45:36+0000","【為什麼我們要做公辦都更？】

都更過程的艱辛和公務員花費的心力，是外界想像不到的。

為什麼要「公辦」都更？就是當民間做不來的時候，政府應該扛起來做，這次的斯文里三期整宅都更，產權複雜，溝通協調不易；弱勢比例高，安置困難；又有航高限制，容積率有限；要期待民間來做根本不可能，但過去政府不想自找麻煩，一拖就幾十年了。

兩年半前，我們在斯文里成立駐點工作站，一切從零開始，超過一百場的說明會、公聽會、聽證會、審議會，不斷的跟住戶、周邊里民溝通協調，終於在昨天開工了，這是很多同仁努力而來的結果。

斯文里三期不只是全臺灣第一例成功的公辦都更，更是公辦都更制度化的開始，在跟居民的協調過程中累積了很多Knowhow、SOP，都會變成知識系統保留下來，未來面對再困難的都更案例，都有成功的前例可循。「最困難的都成功了，還有什麼不能做的」。

感謝每一位居民對都更案的支持，也希望大家能從影片中，看見基層公務員的熱情，他們是都市更新最重要的力量。

斯文里三期公辦都市更新
#市政問答題
#進步價值光榮城市",2149,32272,1108,45,17,190,25
