"","V1","V2","bindtext"
"t_title238","遇綠議員叫他免驚 對方妙回「汗流下來而已」","2018-05-07 12:55"," 國民黨新北市長侯友宜（右）跑行程，遇到綠營議員羅文崇（左），開玩笑叫他「莫驚」，羅文崇擦汗妙回「袂驚，汗流下來而已」，侯趕緊上前要幫他擦汗，逗樂旁人。記者魏翊庭／攝影分享  facebook    國民黨新北市長侯友宜常被質疑不藍不綠，不過今有媒體民調顯示，有6成民眾不滿藍綠對立，希望有超越的第三力量，侯稍早受訪被問是否希望成為那股力量？侯說，他只有「認真做事的顏色」；隨後侯遇到綠營議員，開玩笑叫他「莫驚」，議員妙回「袂驚，汗流下來而已」，引來大笑。 侯友宜今參加永和耕莘醫院35周年院慶，與院長鄒繼群和董事長、總主教洪山川交情不錯，互動熱絡，侯友宜表示，感謝耕莘醫院長期對弱勢的照顧，因此前來感謝。 永耕院慶地方議員全到齊，媒體問侯友宜，是否想變成超越藍綠的第三力量？侯說，本來台灣就沒有顏色，那是別人在看，只有「認真做事的顏色」。 侯受訪完，轉頭見到民進黨議員羅文崇；通常母雞受訪，小雞都站一旁爭取曝光，侯笑說，剛才受訪應該站他旁邊，「我配合你再講一遍」、「莫驚」，羅文崇擦汗妙回「袂驚，汗流下來而已」，侯趕緊上前要幫他擦汗，逗樂旁人。 侯隨後攬著院長說，像醫院沒有分藍綠，都做對的事，在地的議員不分藍綠也都是他的兄弟姐妹。侯友宜還透露，董事長表示，永和在地發展一定和政府站在一塊，照顧長照和弱勢，不問營運好壞，令他感動。 另，今天台北市長柯文哲赴議會說明深澳電廠，侯友宜說，「不錯啊，柯P一起來反對深澳電廠」。媒體追問民進黨新北市長蘇貞昌呢？侯又說，「老縣長也一起來反對深澳電廠」。 講到蘇貞昌，媒體又問侯的社群軟體Instagram是蘇的3倍，侯「哎」了一聲，連拱手直說「拜託大家追蹤我的IG」，更說他還差很多，拜託年輕朋友追蹤他的IG。國民黨新北市長侯友宜（中）今參加永和耕莘醫院35周年院慶，攬著院長鄒繼群（左二）說，他做事像醫院沒有分藍綠，地方議員不分顏色都是好兄弟姐妹。記者魏翊庭／攝影分享  facebook   "
"t_title239","雙北1280吃到飽月票上路未滿一個月 柯P：已賣22萬張","2018-05-07 10:27","  由雙北市政府推出的大眾運輸1280元「吃到飽」月票，系統已於4月16日上線，民眾購買後可享30日不限次搭乘台北捷運、雙北公車，以及台北市境YouBike借車前30分鐘免費優惠，北市府預估可賣出23萬張；台北市長柯文哲今天到市議會專案報告，表示截至5月6日已賣出22萬張，看起來政策初步實施應該沒問題，3個月後看效果如何，再討論機場捷運線、台鐵（基隆到樹林站）是否納入月票。 柯文哲表示，捷運環狀線中環段預計年底完工、明年啟用後，之後台北市至少5年內沒有新的捷運路線，所以台北市推出幹線公車，尖峰時期班距降到4分鐘，捷運加幹線公車，成為公共運輸最底層，中層是台北市公車路網，最上層是ubike、步行，這是台北市未來5年的公共路網策略。 柯文哲指出，台北市過去2、30年，機車及自用車數量上升，道路面積卻沒增加，除非提高公共運輸使用量，否則效率不會提高，所以提出1280元「吃到飽」月票。 柯文哲表示，月票先跑3個月搜集資料再想想看，譬如機場捷運線要不要納入，台鐵的基隆到樹林站是否納進來，但先搜集資料，討論擴大要多少錢，政治要穩紮穩打；柯也說，許多人問定期票為何1280元？北市府內部試算過，曾經有1680方案，但機車族可能不會買，後來折衷。 至於外界質疑補貼的錢從哪裡來？柯文哲表示，月票政策雙北一起補貼9.4億元，台北市佔6成、新北市佔4成，截至5月6日共賣出22萬張，看起來政策初步實施應該沒問題，且經過試算，台北市現在路邊停車收費，能補貼自己的公共運輸，可見未來之內，補貼沒有問題，至少在台北市沒有問題。台北市長柯文哲今天到市議會專案報告。記者張世杰／攝影分享  facebook   "
"t_title240","恐被棄保？柯文哲：沒什麼好擔心","2018-05-06 13:15"," 台北市長柯文哲。 記者余承翰／攝影分享  facebook   年底大選將至，外傳民進黨將不再禮讓現任台北市長柯文哲，今早柯文哲出席活動接受媒體聯訪，媒體問柯是否擔心綠營自推人選，為選戰帶來變數，柯文哲沉默數秒後笑回提問記者：「不然你有什麼建議嗎？」 記者問柯文哲近期與綠營高層、蔡英文總統溝通狀況如何，柯文哲僅回「差不多吧，平常也有」，接著短暫沉默， 隨後又補充：「沒有啦大家想法都差不多啦，沒問題」、「我們也是尊重對方的想法，大家方便就好」。 外界猜測民進黨不再禮讓柯文哲可能是因為其台灣價值與民進黨不同調，對此柯文哲表示「不是啦」，台灣價值不應當只有台北市長需要回答，「要不然每個選縣市長的每個都來講一下台灣價值是什麼」。至於是否接受民進黨兩階段民調，柯文哲則說等發生了再煩惱。 親柯人士認為年底台北市長選舉民進黨若提人，可能會讓國民黨台北市長候選人丁守中獲勝，問柯文哲會不會擔心，他說，「對我來講沒有什麼好擔心，反正每天就做自己喜歡做的事情，一直做下去就好了」。 柯文哲說，做得好人家就會選你，做不好每天在想什麼三角聯盟、兩極對抗「卡拜託咧」，他認為台灣應該要有一個機會「跳脫這些東西」。 對於三年來的施政，柯文哲表示跟三年前比起來好太多了，他認為現在施政都相當穩定，以前一開始是「很亂啦」。  外界推測柯文哲一但表態台獨即可獲得綠營支持，柯文哲則皺眉問：「嘖，真的要在今天講這個嗎？」接著沉默數秒，答道「我們為什麼在現階段反共，因為我們反對一黨專政、反對共產黨的唯一優越性」。 柯文哲解釋，台灣走到今天是民主自由的國度，「這也是李登輝總統對台灣歷史最大的貢獻，他讓台灣走上一條沒有辦法回頭的民主之路」。 柯文哲表示，民主自由多元開放，這是一個社會很不容易才得到的價值，「所以何必去用那種，我們不需要用意識形態去互相檢視、互相做為取暖、甚至變成結黨結派的唯一的因素，啊這就是柯文哲的個性，我就是堅持我的想法，不應當用這種意識形態來互相檢視」。 "
"t_title241","柯P、蘇貞昌伸援手 屏東農民直呼「好洋蔥」","2018-05-05 18:51"," 屏東恆春半島洋蔥今年因產量過剩又和中部產區撞期，收購價崩跌、農民叫苦不已；昨天先有台北市長柯文哲在臉書po文，說用公關費跟屏東產區買了500袋分送社福機構加菜用，今天蘇貞昌出現在屏東縣政府於新北市的展售會場，以老縣長身分熱力促銷，都讓屏東農友直呼「好洋蔥」。  柯文哲PO文說，來自屏東縣的立委莊瑞雄告訴他恆春洋蔥產量過剩，價格崩跌，農民唉唉叫，他平時公關費不多，還有剩一些，就跟屏東產區買了500袋，請社會局分送社福機構，也算幫他們加菜；「我能幫多少算多少，希望大家多多支持台灣的農民，也給社福機構多一點溫暖」。 「老縣長」蘇貞昌今天出席屏東縣政府在新北市淡水捷運站後方廣場舉行的農產品展售活動，衝高現場人氣；他表示過去在縣長任內，曾帶隊北上推廣屏東優質農產品，讓北部鄉親品嚐到產地直送的農產品，加深印象，「屏東洋蔥甘甜爽口、愛文芒果香甜多汁」，就是好吃。 屏東縣政府農業處表示，今年屏東洋蔥種植面積有607公頃，較去年增加120公頃，主要產區在枋山、車城與恆春，總產量約3萬2000公噸，恆春半島陽光充足，加上在地特殊季節性的落山風，生產出的洋蔥其口味與其縣市大不同，屏東洋蔥的蔥味及蔥勁十足，另外，香蕉、鳳梨、芋頭和愛文芒果等特色農產品，現在正是產季。蘇貞昌今天在新北市展售會場以「老縣長」身分為屏東縣特色農產品熱力行銷，讓農友備感窩心。記者潘欣中／翻攝分享  facebook   "
"t_title242","台北市長柯文哲籲企業「不要虐待員工」","2018-05-04 21:41","   台北市長柯文哲今天(4日)下午出席「Best for Taipei對台北最好企業挑戰賽」頒獎典禮時說，可分三方面觀察企業，第一個就是企業要照顧好員工，不要虐待員工，要性別平等。他說，照顧好員工，內部顧客滿意，外部顧客才會滿意，第二是環境，不要說你賺錢，外面環境都汙染，要有永續經營概念，最後是社區，不要自己賺錢但外面都是敵人，社區營造做的不好。 柯文哲說，企業除了獲利，要對內部企業員工好、外部社區關係和環境都要做好，才是好企業。台北市長柯文哲(左二)出席「Best for Taipei對台北最好企業挑戰賽」頒獎典禮。記者孫中英／攝影。分享  facebook   "
"t_title243","柯P再增對手 社民黨召集人范雲明宣布參選","2018-05-03 22:05"," 社會民主黨召集人范雲。圖／取自范雲臉書分享  facebook   台北市長選戰，柯文哲又增加一名對手。台北市長跨黨派辯論會，明天在民視新聞台舉行，共有民進黨籍的姚文智、呂秀蓮和社民黨召集人范雲三人參加。范雲將在辯論會中，正式宣布參選台北市長。 范雲今年3月<U+3873>受邀上廣播節目蔻蔻早餐時就被問到，是否有意參選台北市長，范雲說，不排除參選台北市長，但先以市政政策研擬以及議員選戰布局為優先考慮。 范雲也表示，不少人認為范雲參選台北市長，以母雞帶小雞的方式，對於社民黨台北市議員候選人的選情有幫助。 社民黨發言人陳又新表示，范雲明天會在辯論會上，表態參選，社民黨也已針對台北市的市政進行嚴密的政見研擬，未來將會逐步推出。"
"t_title244","綠、柯情勢不明 藍：支持者將慢慢歸隊","2018-05-03 14:31"," 台北市長柯文哲。記者王彥鈞／攝影分享  facebook    民進黨可能在台北市長選戰不再禮讓台北市長柯文哲，國民黨人士表示，情勢大亂對國民黨選情當然有利，實際影響還是要看民進黨最後推出人選才能分析，現在言之過早。 國民黨組發會主委李哲華表示，從台北市民利益的角度來看，愈多人參選台北市長，台北市民就有更多選擇機會，對台北市未來發展當然更有好處。 國民黨完成台北市長提名初選，提名丁守中代表國民黨參選台北市長。民進黨隨即傳出，年底沒有禮讓的空間，若民進黨與柯文哲關係生變，決定自提人選，台北市長選戰可能出現三方鼎立局面。 國民黨人士分析，柯文哲上屆台北市長選舉囊括85萬票大勝，除了民進黨禮讓，部分對大環境不滿的國民黨支持者轉投柯文哲，柯的選票是由所屬的白色力量、民進黨禮讓的綠色力量與國民黨藍色力量這三隻腳組成。 國民黨人士認為，國民黨確定提名丁守中後，由於丁守中長期正藍立場號召，藍軍支持者將慢慢歸隊，柯文哲上屆競選台北市長的支持來源，已缺了一腳。若民進黨自提台北市長，等於原本禮讓柯的綠色選票也將歸隊，柯將只剩原本的白色力量支撐，所謂的白色力量，就是中間力量，原本就是在上屆選舉大環境下，藍綠兩邊推擠出來的結果，如今情勢轉變，當初的白色力量還有多少實力，備受考驗，柯文哲沒有這麼穩，柯文哲過去一直迴避的市政建設空虛問題，以及閃爍的台灣價值將受檢驗，柯文哲神話勢必幻滅。 這位人士說，天下大亂，情勢大好，情勢愈亂，對國民黨年底台北市長選情，理論上當然會有幫助，但真正影響如何，還是要看民進黨最後推派出怎樣的人選，若推出的人支持度有穿透力，也可能分食國民黨支持群，三方角力結果仍待觀察。 "
"t_title245","丁守中民調接近有危機感? 柯P苦笑：不然要怎麼辦","2018-05-02 21:26"," 台北市長柯文哲。 圖／聯合報系資料照片分享  facebook   國民黨台北市長初選民調出爐，確定由前立委丁守中迎戰現任市長柯文哲，國民黨還稱丁和柯的民調是伯仲之間。對此，柯文哲今天上午出席里長座談會時，並未多談，僅說「上工了、上工了」，不過晚間離開市府時，再度被媒體追問對於民調的看法，柯則說「不然要看什麼」。 至於是否因此有危機感？柯文哲並未多言，僅說「不然要怎麼辦呢」。 此外，民進黨選對會今天也針對台北市長布局展開討論，不過意外爆出選對會今天才召開，但民進黨秘書長洪耀福等選對會核心成員，昨卻密會柯文哲，引發熱議。 對於「柯綠密會」，柯文哲則說「我才覺得奇怪，這到底是誰...」，不過柯話才說到一半，一旁幕僚就連忙打岔，急著說「謝謝、謝謝」，就帶著柯文哲離開。 domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});"
"t_title246","民進黨北市長選戰布局 陳明文：五月中定案","2018-05-02 14:03"," 國民黨台北市長人選今天出爐，民進黨選對會今天中午度開會討論台北市長選戰布局。選對會召集人陳明文表示，今天開會有結論就是希望先徵詢黨內有意參選台北市長人選後，再跟黨籍議員討論，選對會也會與台北市長柯文哲接觸，五月中會有明確方案。 選對會討論後，陳明文受訪表示，今天只針對台北市長選戰問題廣泛討論，希望先與黨內有意參選北市的人討論，第二階段再跟黨籍議員、里長交流，徵詢意見帶回後討論。同時選對會也會與柯文哲接觸，希望愈早定案愈好。 陳明文說，五月中旬會有具體方案產生，包括是否推派人選等方案，選對會也會與柯文哲接觸。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});"
"t_title247","吳思瑤被爆秘戀義築金城武 男方9天內5度直搗香閨","2018-05-02 09:42"," 民進黨立委吳思瑤踏入政壇10餘年，除多年前與國民黨已婚議員吳志剛曾傳出緋聞外，感情世界是一片空白，坦言因社會對政治人物觀感不佳的原因，使她對感情有些卻步。然而近日週刊直擊吳思瑤與台灣義築協會副理事長、號稱「義築金城武」的楊詩弘往來密切，楊詩弘9天內5度前往吳思瑤住處，吳思瑤17日更與楊家親友聚餐，可見兩人關係匪淺。  吳思瑤日前因參與民進黨立委姚文智發起的反柯文哲大遊行被批「牆頭草」，網友指責她2年前立委選舉時找來柯文哲為自己站台，如今卻忘恩負義反柯，引發網友撻伐。但吳思瑤強調參與遊行是為了守住台灣價值，不代表就是反柯。 民進黨立委吳思瑤參加反柯遊行，遭批忘恩負義。圖／本報系資料照分享  facebook    雖因參與遊行惹議，但吳思瑤的感情世界似乎稍有起色。根據《周刊王》報導，吳思瑤被目擊與國立臺北科技大學建築系助理教授、台灣義築協會副理事長楊詩弘往來密切，3月9日至17日短短9天內吳思瑤不僅與楊家親友餐敘，楊詩弘更5度前往吳思瑤住處，另外記者發現兩人汽車車牌號碼都恰好是吳思瑤生日「0528」，兩人關係讓人霧裡看花。  吳思瑤與楊詩弘兩人臉書交流並無特別頻繁，但吳思瑤2年前參與立委選舉時，楊詩弘特意貼文支持，並寫下「妳是一個不一樣的政治人物」，巧合的是吳思瑤近來接受媒體訪問時，除了提及自己閒暇時最愛集藝術之大成的建築，還坦言理想的另一半會說出「我太太吳思瑤是政治工作者，但她不一樣」。  吳思瑤對此回應「我都40歲了，我有交朋友的自由，謝謝大家關心」，並表示自己會與楊家親友聚餐是因為她長期關注建築改革、《採購法》等議題，而楊詩弘父親是建築圈專業人士，因此才會向他請教相關問題。對於兩人車牌暗藏真愛號碼一事，她表示不清楚楊詩弘為何會與她撞號，但也謝謝記者關心，開玩笑回應「你們要是害我嫁不出去就完蛋了啦」。 民進黨立委吳思瑤。聯合報系資料照分享  facebook   "
"t_title248","北市招待長輩出遊 議員批買票","2018-05-01 00:24"," 台北市長柯文哲大砍重陽敬老金，引發北市長者不滿，柯最近積極「修補關係」。 圖／聯合報系資料照片分享  facebook    北市府觀傳局今年編列2600萬元預算舉辦長青樂活遊，邀設籍北市的65歲以上長者免費出遊。台北市議員王鴻薇質疑，活動從6月下旬起至10月23日止，距離年底投票日僅1個月，根本就是政策買票兼綁樁。北市觀傳局表示，活動主要是鼓勵長者走出家門，未來希望每年固定編列年度預算。 台北市長柯文哲大砍重陽敬老金，引發長者不滿，為了「修補關係」，北市府不僅推出老人共餐等福利政策，今年更編列2600萬元邀請長者免費出遊，預計可出880車次。 不過，王鴻薇質疑，柯文哲因為取消重陽敬老金，得罪很多長者，也讓柯文哲民調掉了很多，才會極力討好長者，該筆預算是不折不扣的「一次性預算」，以後也不敢承諾會繼續編。 為了調查長者出遊意願，北市府民政局23日發出公文調查活動意願，25日收件，12行政區中，目前有意願出車的有673車。王鴻薇說，才短短2天就急著統計，結果就是人數從去年預估的3萬人下修至2萬人，這樣子的活動對不易出門的長者完全不公平。 北市觀傳局長陳思宇說，主要是希望透過觀光方式，鼓勵長者走出家門，因出遊車次太多，且發包時間要1個月，才會導致出團時間持續至10月底止，未來希望固定編列年度預算。 "
"t_title249","台北市是否禮讓柯文哲 民進黨5月中決定","2018-04-29 11:52"," 台北市長選戰，民進黨遲未決定是否禮讓台北市長柯文哲（右），基層擔心影響全台選情。圖為年初柯文哲帶著蔡英文總統（左）參觀健康公宅。 圖／聯合報系資料照片分享  facebook    民主進步黨在台北市長選舉是否禮讓台北市長柯文哲或是自推人選備受矚目，選舉對策委員會5月2日將開會討論台北市長布局，黨內人士表示，約5月中就可以做出最後決定。 民進黨備戰年底九合一選舉，21個縣市已經完成18個縣市長提名，剩台北市、金門和馬祖待決定。 民進黨在台北市要自推人選或是和台北市長柯文哲合作備受各界關注，中國國民黨5月2日就會決定台北市長人選，民進黨選對會當天隨後就會開會討論台北市的因應方案。 黨內人士表示，5月2日當天算是選對會第一次「正式」討論台北市長布局，會讓選對會所有成員正式表達意見。 黨內人士分析，由於國民黨已經決定人選，黨中央也不能拖太久，預計選對會再開個一兩次會，應該5月中就可以做出最後決定。 兼任黨主席的總統蔡英文日前也曾表示，會邀集黨內27名台北市議員參選人以及里長，徵詢基層意見，究竟怎樣的方案對大家選舉最有利。"
"t_title250","綠基層憂柯P效應 北市不提名恐全台崩盤","2018-04-28 13:36"," 台北市長選戰，民進黨遲未決定是否禮讓台北市長柯文哲（右），基層擔心影響全台選情。圖為年初柯文哲帶著蔡英文總統（左）參觀健康公宅。 圖／聯合報系資料照片分享  facebook    國民黨提名台北市長參選人5月2日確定，民進黨未決定是否禮讓台北市長柯文哲或是自提人選，民進黨基層焦慮，擔憂北市議員選戰崩盤，中南部立委也反彈，認為柯文哲效應已經外溢中南部，很多支持者揚言，若民進黨禮讓柯文哲，年底就不投民進黨。 民進黨立法院黨團總召柯建銘曾表示，柯文哲問題，是民進黨的大問題，引起不少民進黨立委共鳴。一位高雄民進黨立委說，選民很關心台北市長選舉民進黨人選，多對柯文哲兩岸一家親論調不滿，批民進黨不該與柯合作，應該快點自推人選。 一位南部資深民進黨立委也曾對民進黨選對會召集人林錫耀說，地方都在說不提名，年底不出來投票給民進黨，這位立委說，台北市長選戰，就算僅戰到一兵一卒，民進黨都應自己提名。 嘉義地方人士分析，嘉義市目前三強鼎立局面，國民黨提名的黃敏惠、脫黨參選的嘉義市議會議長蕭淑麗跟力拚連任的嘉義市長涂醒哲。三人輸贏都在百分之十以內，台北市的柯文哲效應若外溢到中南部，影響支持對民進黨信心，連帶執政縣市都會被拖累，希望黨部要審慎思考。 爭取民進黨提名參選台北市長的民進黨立委姚文智舉辦遊行，周三民進黨中執會後，民進黨台北市議員王孝維向林錫耀建言，希望選對會正視遊行的一些聲音，因為參與遊行有一定的人數，民進黨若台北市不提人，民進黨北市議員要怎麼選。 北部立委分析，台北市議員已經形成集體焦慮，若民進黨禮讓柯文哲，民進黨北市議員選戰一定崩盤，之前台北市再怎麼選，民進黨基本盤都有三成多，民進黨若不提人，鐵票不出來投票，首當其衝就是議員選舉。 這位立委說，支持柯文哲的人會投民進黨議員嗎？禮讓柯文哲最後就是議員選戰崩盤，第三勢力得利，支持柯文哲的年輕選票居多，他們也不會投民進黨，北市不自提人選，最後自傷的將是民進黨。"
"t_title251","柯文哲頒獎表揚107年模範清潔工","2018-04-27 11:38","  台北市環保局今天舉行107年度模範清潔職工表揚大會，市長柯文哲出席致詞並頒發獎狀，感謝清潔工維護台北市容的辛勞。柯文哲（左）與環保局長劉銘龍（右）在會中交頭接耳。記者鄭清元／攝影分享  facebook   柯文哲（左）頒發獎狀給優秀清潔職工。記者鄭清元／攝影分享  facebook   柯文哲出席環保局模範清潔職工表揚大會。記者鄭清元／攝影分享  facebook   柯文哲接受媒體聯訪。記者鄭清元／攝影分享  facebook   "
"t_title252","北市拚都更 祭重獎",NA,"  報系資料照片facebook全國老屋急欲改建，台北市端出都更牛肉，考量2000、2002年劃定的更新地區，完成更新率僅17％，加上過去18年從未檢討，北市府宣布將重新劃定，讓全市多達550公頃地區，再度享有10%時程容積獎勵，藉此提高都更誘因，預計今年9月陸續推出。 台北市都更處統計，2000、2002年劃定的更新區域共計281處、約535公頃，至今僅80處完工、22處施工；北市府昨舉行「公劃更新論壇」，宣布將重新劃定更新地區，總計70群落、550公頃，中正區及信義區擁有最多群落。 台北市長柯文哲表示，如何合理使用土地是一個重要課題，雖然都更過程中不免遇到公共利益跟個人利益衝突，他不好意思說釘子戶，但這是每個市長要面對的問題，都更必須與時俱進。 經濟日報提供facebook副市長林欽榮指出，當年劃定的更新地區，完成更新率僅17％，加上過去18年沒有檢討，時程容獎早失效，市府也沒有指導架構，「公劃都更形同廢紙一張」，北市府將配合都市計畫，重新劃定更新地區；過去更新地區零散，北市府將以群落為主，並允諾有高額的時程獎勵、規模獎勵，「一定是重獎」。 依市府規劃，重劃定的更新地區，一定會納入整宅、海砂屋、輻射屋和危險老屋，符合巷弄狹窄、土讓液化潛勢區等地也會優先劃入更新區域。 都更處指出，地方政府公告更新地區後，一定時間內推動都更可享時程容獎，依現行法令，第一年最高10%、第二年降為8%、第三年至第六年剩6％，可申請展延一次，超過九年時程容獎將歸零。 不動產開發公會全國聯合會理事長吳寶田說，台北市率先檢討更新地區，符合業界期盼，若國內屋齡30年以上老屋能在未來30年都更，預估可增加產值超過7兆元產值。林欽榮則指，若全台產值7兆元，目標台北市六年推動公劃都更下，有望創造產值3兆元。 "
"t_title253","罰鍰等費用欠繳 台北呆帳每年逾20億元","2018-04-24 23:56"," 台北市民眾欠費每年都超過20億元，挨批催繳態度軟趴趴，台北市議員汪志冰昨要求市府以首都的角度，向中央建議訂立強制催繳法令，否則市府永遠都是收不到錢的「傻債主」。 記者邱瓊玉／攝影分享  facebook    台北市民欠費情況嚴重，平均每年欠費的「呆帳」超過20億元，舉凡停車費、交通罰鍰、地租、怠金等都是常見的欠費。台北市議員汪志冰質疑，民眾欠費欠很大，市府催繳軟趴趴，建議訂立強制收取欠費方式，不要當個收不到錢的「傻債主」。 台北市府主計處長梁秀菊說，已要求各機關針對欠費超過1年的呆帳積極催繳，每3個月檢視一遍，績效不好的局處機關每半年還要去市長室報告。早期機關催繳欠費積極度確實不佳，市長柯文哲上任之後，要求各機關訂定SOP，目前積極清理中，以罰金罰鍰為例，已經清出7成多，成效還算不錯。 根據主計處統計，104年民眾欠費金額高達27億元，105年28億元，106年23億元，換算下來，平均每年欠費超過20億元。 至於民眾欠費排行榜前三名的機關單位，警察局（含市刑大、交通警察大隊）的8.3億元居冠，其次為交通事件裁決所5.3億元，以及台北市公有收費停車場基金5.1億元；欠最久的則是工務局主管的損害賠償，一欠就長達20年8個月，單筆欠費大戶則是北投纜車違約金，總計欠費3400萬元。 主計處解釋，欠款超過20年是工程訴訟案件，因為廠商一直不放棄上訴，所以才會拖這麼久，目前工務局正努力協調，希望盡快達成協議。 汪志冰表示，20億元是相當大的金額，若能追討回來，用來發重陽敬老金都綽綽有餘，但市府催繳態度消極，大多都是循例移交行政執行署催繳，成效有限，她建議訂立強制收取欠費的方式。 "
"t_title254","影／綠營遊行 柯P：反某人做為政治主張很怪","2018-04-23 13:28","   台北市長柯文哲23號出席推廣本土語言活動，還上場跟小朋友用台語說台北歷史。前一天姚文智發動的遊行，姚陣營自稱有上萬人參與，柯文哲23號被問到時，冷淡表示沒看遊行，但他承認反柯勢力可能和挺柯勢力不相上下，面對綠營激起反柯勢力，柯文哲語帶無奈，以反對某個人做為一種政治主張，很奇怪，明顯不想回答相關問題，乾脆開始大談任內政績，肯定自己做的長照政策未來會被市民肯定。台北市長柯文哲出席推廣本土語言，上台與小朋友一起說台語。攝影／記者徐宇威分享  facebook   "
"t_title255","砍敬老金民調跌 柯文哲：推照顧老人政策","2018-04-22 19:10"," 台北市長柯文哲今天批評敬老金是一次性消費，一年得花60億元，想不到他取消此政策後民調掉了15%，自嘲「還好我有足夠民調可以掉」，強調將把這筆錢拿來推動照顧老人的政策。 台灣大學公衛學院、台灣研究基金會昨天起舉辦為期2天的「第三波健保改革－醫療資源分配正義再探討」研討會，台北市長柯文哲今天下午也出席，以永續經營為主題進行演講。 柯文哲說，在資本主義國家若要追求永續經營，醫療和教育一定要採社會主義，在醫療方面，台灣因為有健保，才讓每個人保有醫療人權，不會因為生病沒錢就醫送命或殘廢，雖然各界經常嘲弄健保，但若真的討論取消健保，「大家應該會嚇死」。 不過，健保若要品質好、要永續經營，就得回到健保到底是保險還是福利的根本問題，如果是社會保險，涵蓋的範圍不能這麼大，但如果是社會福利則保費不能這麼低，例如社會福利出名的北歐國家，人人一年得繳40%以上的稅。 柯文哲說，台灣少子化速度太快，根據估算，4年後台北市65歲以上老人將超過20%，屆時健保費用上漲無可避免，這些老人不可能通通由社會局照顧，而是得由老人照顧老人。 他認為，許多縣市都在發放的重陽敬老金屬於「一次性消費」，沒有政策指導，根本無法好好照顧老人家，如果繼續發下去，4年後每年就得花60億元，10年多達600億元，這筆錢足以拿來落實很多照顧老人的政策。 為此，他毅然決然取消了這筆敬老金，但民調也因此掉15%，導致全台各縣市沒人敢跟進，他自嘲「還好我有足夠民調可以掉」。 柯文哲說，為了讓老人可以照顧老人，目前正在試辦老人共餐、石頭湯計畫（社區整合照顧服務計畫）等，多方嘗試怎樣的政策適合台北市，他也強調，完全仰賴外勞的照顧措施已經不可行，必須找出新的照顧模式，讓一群人照顧一群老人，是台灣未來20年最重要的事。"
"t_title256","為何被指麻煩？ 柯文哲：去問柯建銘","2018-04-21 23:46"," 台北市長柯文哲（中）昨天出席松山慈惠堂舉行的萬人淨山健行活動時做暖身操。 記者徐兆玄／攝影分享  facebook    針對民進黨立法院總召柯建銘日前表示，台北市長禮讓柯文哲是大麻煩；柯文哲昨天末正面回應，只說為何被指是個麻煩，應該要問柯建銘。柯建銘昨天進一步指出，民進黨與柯文哲過去合作愉快，現今基層黨內有雜音，至於將採徵召或禮讓，相信蔡英文總統會有智慧決定，近期內就會揭曉。 新北市長朱立倫指出，民進黨作了太多政治考量，反倒無法取得民眾的認同，因為完全是政治算計，缺乏政黨的立場，不是大家所期待的執政黨。 對於台北市是否禮讓柯文哲，民進黨內意見不一；由於行政院前院長蘇貞昌於二○一○年在保安宮宣布參選台北市長，行政院長賴清德昨天前往參拜時，被問及是否想參選台北市長，賴清德說，是參加保生文化祭。 對於柯建銘說，「禮讓柯文哲是大麻煩」，柯文哲昨天笑說，他和柯建銘是好朋友，他們都是新竹來的，認識廿年以上，有時候，雖然覺得朋友很麻煩，但還是可以當朋友。媒體再追問，既然是朋友，柯建銘為何覺得他是麻煩，柯文哲說，「那你要問柯建銘，怎麼會是問我？」 柯建銘說，柯文哲有個人魅力和特質，但最大的問題是「口無遮攔」，也是目前所面對的麻煩。他常勸柯文哲，政治是要朋友愈來愈多，不是去得罪每一個人，應該要忍耐，不宜多言。 柯建銘說，民進黨這次在台北市是採徵召或禮讓的策略，目前各類聲音與思考都有，交由選對會協助分析，相信蔡總統會有智慧來決定。 "
