"","V1","V2","bindtext"
"t_title10","參選市議員 藍營3新人堅守北市","2018-01-28 13:49"," 國民黨12月台北市議員選舉，參選新人多，徐巧芯（右）、鍾沛君（中）、游淑慧（左）力拚北市，希望能替藍營贏回失落的席次。 圖／聯合報系資料照片分享  facebook    國民黨在12月台北市議員選舉，參選新人相當多，國民黨中常委表示，包含馬系的徐巧芯、鍾沛君，郝家軍游淑慧這幾位參選人，應該到藍營沙漠蹲點，用時間換取空間，替國民黨開疆闢土。不該留在台北市，國民黨相對好選的舒適圈分食票源，這樣國民黨的餅只會越來越小。 徐巧芯表示，她從小到大都住在松山區，會選擇這裡，是地緣關係的考量，要做服務就服務自己的家，自己絕對不是空降。如果國民黨要開疆闢土，黨部希望她去哪個地方，當然都OK，但黨部沒有這樣的計畫。 徐巧芯說，松山信義區國民黨本來是七席，現在只剩下五席，因為這區國民黨沒有年輕人出來選，希望她加入後可以擴增到六席。她表示，在柯文哲2014年選舉過後，原本認為是偏藍的地方，都有可被逆轉，難道青年票都要投給時代力量嗎？ 鍾沛君表示，過去做<U+7232>政治記者，主跑北市府、議會8年，練就傾聽第一線的基本功。比較前兩次大選，國民黨在大安、文山都提名八席，總得票數卻大幅萎縮而減少一席，反倒是民進黨議員多提名多上。當鐵票區不再，應反思是哪裡讓支持者失望，她參選大安、文山是要砲口對外，希望能替國民黨拚回失落的席次，替國民黨發聲。 游淑慧說，國民黨在每個縣市都有很多年輕人要投入，如果她們去別的縣市選，反而會被當地參選人認為是空降。她過去8年都在台北市服務，前台北市長郝龍斌參選第一任的市政白皮書，就是她撰稿的，她的粉絲專頁也幾乎都在談台北市政和柯文哲，市議員本來就要從自己最了解地方開始，如果隨意點將選區，不考慮候選人的專業領域，是對選民不負責的，不是有官坐、有位子選就好了。 "
"t_title11","蔡總統肯定馬英九 補助健康公宅","2018-01-27 00:32"," 前總統馬英九。 圖／聯合報系資料照片分享  facebook    蔡英文總統昨天視察「台北市健康公宅」時，除強調中央跟地方不應該分黨派、分顏色，還表示，「我們要特別肯定馬英九政府的時期，補助了這個公共住宅的土地、經費」。 蔡英文強調，不只中央與地方應合作，只要能幫年輕人解決生活問題，包括過去政府所做的、是對的事，也要給予肯定，而「健康公宅」就是很好的案例，「我們要特別肯定馬英九政府的時期，補助了這個公共住宅的土地經費」。 除了蔡英文肯定馬英九政府，台北市副市長林欽榮簡報時也提到，健康公宅是前市長郝龍斌任內發包，再由柯市府接手，準時完工。 不過，在蔡英文與台北市長柯文哲視察之前，台北市議員王鴻薇昨天上午先在臉書指出，松山健康公宅從規畫、發包到動工，都在郝龍斌市府內完成，蔡英文和柯文哲全然是個「收割者」。 王鴻薇並質疑，柯文哲在否定前任市長一切的同時，「不知會不會對前人心存感謝，健康公宅讓他在蔡英文面前風光」。 王鴻薇認為，當年的都發局長丁育群才是健康公宅功臣，先前健康公宅受附近居民反對，他耐心地結合當地里長與學校同學、居民溝通，並經兩次民調，而能使健康公宅順利動工，「可惜丁局長因病過世，健康公宅的成果他無緣親見」。 "
"t_title12","展現台灣價值 姚文智主張舉辦台灣博覽會","2018-01-26 13:38"," 民主進步黨立法委員姚文智。聯合報系資料照分享  facebook   民主進步黨立法委員姚文智今天說，「台灣價值」是對政治人物的判準，尤其作為首都市長應透過城市治理發揮到淋漓盡致，他主張西元2022年應籌辦台灣博覽會，展現台灣價值。 總統蔡英文日前接受電視專訪，被問到台北市長柯文哲還是民進黨的盟友嗎？蔡總統說，柯文哲應要再次確認「台灣價值」，讓支持者覺得是可並肩作戰的人；柯文哲回應指「我很想知道她（指蔡總統）的台灣價值是什麼。」這番言論被部分媒體解讀為「回嗆」，引起議論。 姚文智今天在報紙刊登全版廣告指出，台灣價值就是在進步價值、普世價值的追求中，彰顯台灣的主體性、獨特性、優先性，它是承先啟後在台灣這塊土地的文化歷史，內化為個別或集體行動的日常判準，作為整體台灣利益與文明的極大化指引。 姚文智主張，該是台北主辦台灣博覽會的時刻，台北作為領頭羊，展現台灣總合文明與國力，包括經濟社會產業、文化科技創意、人文歷史地景風情、地方特色與文化，都該藉由2022年的台灣博覽會再次發揚與振興，「絕對是台灣價值的巔峰之作」。 姚文智上午在立法院受訪時表示，台灣價值當然是非常重要的對政治人物的一個判準，尤其作為首都市長，如何把台灣價值透過城市治理的能力，發揮到淋漓盡致，是他過去積極主張，而且想要努力推動的。 他說，2022年應籌辦籌辦台灣博覽會，可以從軟硬體綜合國力，從首都匯集所有公私部門力量，一起展現台灣價值。既然蔡總統提到台灣價值，柯文哲也答不太出來，他就把未來想做的事情讓大家清楚了解。"
"t_title13","柯P爆有人安排他跟段宜康見面 段宜康：沒那麼閒","2018-01-25 12:48"," 台北市長選舉民進黨未來是否要繼續跟台北市長柯文哲合作，引發民進黨立委段宜康跟柯文哲口水戰。柯文哲今受訪自爆有人要安兩人見面，「實在受不了」，段宜康則在臉書澄清自己從沒找人傳話，也「沒那麼閒」。 總統蔡英文日前接受專訪表示，要柯文哲要再次確認「台灣價值」，柯文哲也反問蔡英文「我也想知道她的台灣價值是什麼」。結果遭民進黨立委段宜康批評柯文哲兩岸一家親的邏輯，「應該會肯定第一次世界大戰後復興德國的納粹黨和希大大（希特勒）」。 結果遭柯文哲回嗆，「如果在馬路上走，巷子口有隻狗衝出來咬你一口，你怎麼辦？難道你要衝上去咬那隻狗嗎？」段康也說「這種水準，我就不回應了」，隨即把臉書大頭貼換成「狗咬人」的圖暗諷柯文哲。 對於柯文哲爆料有人要安排兩人見面，段宜康在臉書回應，自己被人討厭不是新聞，也不缺柯文哲一個。但他從來沒有找人傳話，無論是哥哥姊姊還是弟弟妺妹，說要和柯文哲見面。他閒是閒，但沒那麼閒。立委段宜康。圖／聯合報系資料照分享  facebook   "
"t_title14","影／「台灣價值待確認」挨批 柯文哲暗指狗回嗆","2018-01-24 13:50","   總統蔡英文提出要台北市長柯文哲確認台灣價值，才要合作的條件，民進黨立委段宜康又在臉書批評柯文哲的「兩岸一家親」主張，段宜康認為以柯文哲的邏輯，應該會肯定第一次世界大戰後復興德國的納粹黨和希大大（希特勒）。柯文哲上午被媒體問到，停頓了一會，接著表示，如果在馬路上走，巷子口有隻狗衝出來咬你一口，難道你要衝上去咬那隻狗嗎？不會吧？這句話代表段宜康是狗嗎？柯文哲不願多做解釋。為解決清潔車輛老舊問題，擬訂3年汰換計畫，首批69輛已完成汰舊換新，柯文哲進行授鑰儀式。攝影／記者陳煜彬分享  facebook   "
"t_title15","下屆苗栗縣長選舉 綠陣營徐定禎、吳宜臻有整合默契","2018-01-23 17:03","  苗栗縣長下屆選舉藍綠陣營可能參選人，包括國民黨苗栗縣長徐耀昌及民進黨行政院中部辦公室副執行長吳宜臻、無黨籍頭份市長徐定禎，今天難得在行政院長賴清德到苗栗的行程同台，徐耀昌已獲國民黨徵召競選連任。 綠陣營部分，民進黨徵召吳宜臻或徐定禎循台北市長柯文哲模式參選，目前尚未定案，今天兩人互動熱絡，異口同聲因苗栗屬民進黨未執政縣市，要等其他縣市黨內初選結束後，大約在春節過後，人選才會明朗化。 徐定禎答覆提問是否加入民進黨，表示「目前沒有這個問題」，他一直是民進黨的友軍，「成功不必在我，但一定有我」。 吳宜臻已有後援會在街頭懸掛布條支持，她說，徐市長與她各有支持者，但兩人都有共識，成功不一定要自己，只要是可以翻轉、改變苗栗，等將來人選確定，也一定會整合團結。苗栗縣下屆縣長選舉綠陣營可能參選的徐定禎（前排左一）及吳宜臻（中）今天同場，互動相當熱絡。記者范榮達／攝影分享  facebook   "
"t_title16","戳破柯P假象？建國黨主席宣布參選台北市長","2018-01-23 11:15"," 建國黨主席古文發上午宣布參選2018台北市長，喊出「脫柯換古」對柯文哲的政<U+41FF>零容忍，並在北市府前演出行動劇，戳破柯文哲的假象。 古文發說，台北市建築物多了，但人文藝術<U+5374>落後，他是小蝦米對抗大鯨魚，要靠市民，市民才是最大的主人。 古文發與到場聲援的言論自由聯盟主席蕭忠漢說，柯文哲競選時宣示徹查五大弊案，現今虎頭蛇尾，諸多選舉政都與選前承諾相去甚遠，而柯嚴重性傾中舉止，如果連任，是台北市民的悲哀。 台北市長民進黨到底要推自己人，還是再度禮讓市長柯文哲？古文發表示，如果身兼民進黨主席的蔡英文總統接受三立電視台專訪，說等柯回頭，「人民會對妳搖頭」。 古文發說，兩岸若像床頭打、床尾和，兩岸一家親，那M503算什麼。至於柯辦雙城論壇，世界都辦雙城，不只上海，但若是不對等，台北市可和其他城市辦。 古文發說，他累積數十年的從事社會改革，具體主張要進階到政治3.0、公辦公費選舉、落實「四民主義」、市民服務「新公民主義」，讓台北市向上提升。建國黨主席古文發(中)上午宣布參選2018台北市長，喊出「脫柯換古」對柯文哲的政<U+41FF>零容忍，並在北市府前演出行動劇，戳破柯文哲的假象。記者楊正海/攝影分享  facebook   建國黨主席古文發(中)上午宣布參選2018台北市長，喊出「脫柯換古」對柯文哲的政<U+41FF>零容忍，並在北市府前演出行動劇，戳破柯文哲的假象。記者楊正海/攝影分享  facebook   "
"t_title17","台北年貨大街活動2月1日開跑 拿紅包抽「狗黃金」","2018-01-22 19:55"," 一年一度的台北年貨大街即將登場，今年2月1日至14日，台北市9大商圈合推系列活動，讓民眾好買又好玩，此外，市長柯文哲將於2月7日起陸續發「發財金紅包」，民眾有機會抽到「狗黃金」開運金飾、萬元獎金，一同沾喜氣。 北市商業處今天舉行記者會，宣布一系列年節活動，今年除了傳統的迪化商圈之外，其餘8大商圈不缺席，譬如信義商圈舉辦「迪士尼TSUM TSUM派對嘉年華」，台北地下街推出指定消費金額抽好禮，以及後車站商圈、華陰街商圈商品75折起。 另外，市長柯文哲2月7日起，陸續現身9大商圈，發放「發財金紅包」，柯文哲發紅包時間為2月7日在迪化、寧夏，2月9日於台北後站、華陰街、台北地下街，以及2月11日到榮濱商圈。 北市商業處表示，今年發財金紅包隨機放入百元刮刮樂，並跟行動支付歐付寶結合，民眾拿出手機掃描QRCODE，註冊後即可參加抽獎，頭獎是特別打造的「狗黃金」開運金飾。 9大商圈各具特色，包括迪化街深具傳統年味，寧夏商圈有特色小吃，榮濱商圈能一次購足年夜飯生鮮蔬果，滿足各年齡層需求；商業處表示，相關台北年貨大街系列活動介紹、市長柯文哲發送發財金紅包時間，更多活動細節，民眾可至臉書粉絲團「台北市商業處-猴呷猴七淘 in Taipei」查詢。一年一度的台北年貨大街即將登場，今年2月1日起至14日，台北市9大商圈合推系列活動，讓民眾好買又好玩。記者張世杰／攝影分享  facebook   市長柯文哲今年將發送六萌犬圍爐發財金紅包，並與行動支付結合，民眾拿手機掃描QRCODE，註冊後就可參加抽獎。圖／北市產發局提供分享  facebook   "
"t_title18","柯文哲現身電影院窗口買票 帶太太一起看「幸福路上」",NA," NA "
"t_title19","觀察站／北市一戰 藍未戰先讓？","2018-01-19 14:49"," 國民黨內備受期待能投入年底台北市長選戰的青壯派立委蔣萬安，今天宣布不選，讓期盼能藉蔣參選、扮演選舉火車頭的黨內人士為之一挫。台北市畢竟是藍營優勢縣市，在柯市府與蔡政府執政備受詬病下，年底這一仗，國民黨仍應積極備戰。 回顧重頭，國民黨完全在野，一開始就是從2014年地方九合一選舉開始節節敗退，當時的台北市長選戰敗選的外溢效應更被視為是關鍵因素之一，也因此黨內對於年底台北市長人選更為重視。 分析1998年至2010年歷屆台北市長選舉得票情形，國民黨在台北市長選戰中，至少可拿下69.2萬選票，前市長馬英九更在2002年時拿下87.3萬票，郝龍斌2010年連任之戰也有79.8萬票水準，國民黨有一定的基本盤。 上屆台北市長選舉，代表國民黨參選的連勝文僅拿下近61萬票，相較於過去歷次選舉，一來一回間，相當於有近10萬票藍營基本盤的選票未開出，也讓柯文哲以85.4萬票當選。 但畢竟台北市基層政治支持群眾，長期藍大於綠，國民黨在台北市長選戰，沒有必輸的道理。更何況柯文哲就任市長這三年多來施政爭議不斷，年底選舉要守85萬票談何容易？國民黨年底選戰沒有必輸的道理。 不過上屆台北市長選舉，國民黨之所以敗選，除了藍營不滿施政不投票外，黨未獲青年族群青睞更是結構性問題，但如今這樣的選戰結構仍在，國民黨要爭取勝選，也要讓自己有結構性轉變，提名策略是重中之重。 為讓黨重返執政，立院黨團也頻頻勸進合適人選參選。從之前的曾銘宗，到現在的蔣萬安，也代表黨內對台北市長選舉有不一樣的期待，年輕的蔣萬安更是黨內期盼世代交替的投射，但如今一切回到原點。 "
